Timestamp,Team Number,Match Number,Break baseline,Fuel scored low boiler,Fuel scored high boiler,Gear placed on spike,Additional comments,Primary Scoring Location,Fuel Accumulated,Gears placed on spike,How is fuel loaded into the robot?,How are gears loaded into the robot?,Climbing,Additional Comments?,Pilot data
3/24/2017 15:02:55,2078,23,Yes,0,0,No,,Does not score Fuel,0,0,Does not load fuel,Does not do gears,Does not climb,Drove in circles the entire match,
3/24/2017 19:13:26,2078,53,Yes,0,0,No,,Does not score Fuel,,1,Does not load fuel,Player station,"Rolled backward, Fast climb (<10s)",,Strong pilot
3/24/2017 19:25:57,2078,53,Yes,0,0,No,,Does not score Fuel,,1,Does not load fuel,Player station,"Rolled backward, Fast climb (<10s)",,Strong pilot
3/24/2017 13:34:13,2080,17,Yes,0,0,No,,Does not score Fuel,,1,Does not load fuel,Player station,"Touched sensor, Slow climb (10-20s), Trouble capturing rope",,Dropped gear out of ship
3/24/2017 18:12:18,2080,45,Yes,0,0,No,,Does not score Fuel,0,1,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s), Trouble capturing rope",,
3/24/2017 19:26:00,2080,54,Yes,0,0,No,,Does not score Fuel,,2,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Trouble capturing rope",,"Strong pilot, Dropped gear out of ship"
3/24/2017 16:55:19,2152,36,Yes,0,0,No,,Does not score Fuel,0,0,Player station,Does not do gears,"Touched sensor, Slow climb (10-20s)",Played defense decently; would not choose for defense,
3/24/2017 11:06:51,2183,3,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,"Player station, Efficient",Trouble capturing rope,Bad loader,Strong pilot
3/24/2017 12:54:11,2183,14,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,Player station,"Slow climb (10-20s), Trouble capturing rope",Hanging in middle of rope,
3/24/2017 17:05:07,2183,37,Yes,0,0,No,,High Boiler,1-5,3,Floor,"Player station, Efficient","Touched sensor, Fast climb (<10s)",,
3/24/2017 18:58:37,2183,51,Yes,0,0,No,,Does not score Fuel,,3,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s), Trouble capturing rope",,"Strong pilot, Dropped gear out of ship"
3/24/2017 11:06:04,2221,3,No,0,0,No,,Does not score Fuel,0,3,Does not load fuel,Player station,Trouble capturing rope,,Strong pilot
3/24/2017 12:44:43,2221,13,Yes,0,0,No,,Does not score Fuel,0,1,Does not load fuel,Player station,"Touched sensor, Locked in place, Slow climb (10-20s)",,Strong pilot
3/24/2017 15:28:57,2221,26,No,0,0,No,,Does not score Fuel,0,2,Does not load fuel,Player station,Does not climb,,
3/24/2017 15:29:01,2221,26,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,"Player station, Inefficient",Does not climb,"Decent gearbot, but not extraordinary drive team",Strong pilot
3/24/2017 16:54:20,2221,36,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Slow climb (10-20s)",,
3/24/2017 18:12:46,2221,45,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,"Player station, Inefficient","Touched sensor, Slow climb (10-20s)",Gear is not very well-secured,
3/24/2017 11:29:26,2613,5,No,0,0,No,,Does not score Fuel,0,3,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Slow climb (10-20s)",,
3/24/2017 18:44:30,2613,49,Yes,0,0,No,,Does not score Fuel,0,0,Does not load fuel,"Player station, Inefficient","Touched sensor, Slow climb (10-20s), Trouble capturing rope",Pretty bad,
3/24/2017 10:57:27,2797,2,Yes,0,0,No,,Does not score Fuel,0,1,Does not load fuel,"Player station, Inefficient","Touched sensor, Locked in place, Fast climb (<10s)","Missed 4 gears from human player, 5th gear got stuck in side of robot. ",Deployed rope late
3/24/2017 12:45:03,2797,13,No,0,0,No,Foul for going to far,Does not score Fuel,0,0,Does not load fuel,Player station,Fast climb (<10s),,
3/24/2017 14:49:33,2797,22,Yes,0,0,No,,Does not score Fuel,6-10,2,Player station,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s)",,
3/24/2017 17:13:44,2797,38,Yes,0,0,No,Couldn't see ,Does not score Fuel,,0,Does not load fuel,Does not do gears,Touched sensor,,Strong pilot
3/24/2017 18:11:50,2992,45,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,Player station,"Touched sensor, Fast climb (<10s)",,Strong pilot
3/24/2017 10:47:38,3039,1,No,0,0,No,,Does not score Fuel,0,4,Floor,Player station,Touched sensor,,Strong pilot
3/24/2017 15:28:20,3039,26,Yes,0,5,No,,High Boiler,,4,Floor,Player station,"Touched sensor, Fast climb (<10s)",,Strong pilot
3/24/2017 17:52:00,3039,43,No,0,0,No,,Does not score Fuel,,5,Does not load fuel,Player station,Trouble capturing rope,Good ,"Strong pilot, Placed gears out of order"
3/24/2017 11:49:33,3337,7,No,0,0,No,,Does not score Fuel,0,1,Does not load fuel,"Player station, Inefficient","Touched sensor, Slow climb (10-20s)",,
3/24/2017 15:52:46,3337,29,Yes,0,0,No,,Does not score Fuel,,2,Does not load fuel,"Player station, Inefficient","Trouble capturing rope, Does not climb",,Strong pilot
3/24/2017 16:37:30,3337,34,Yes,0,0,No,,Does not score Fuel,,2,Does not load fuel,"Player station, Inefficient","Touched sensor, Locked in place, Trouble capturing rope",No ,"Strong pilot, Deployed rope late"
3/24/2017 19:13:38,3337,53,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,Player station,"Touched sensor, Fast climb (<10s)",,Strong pilot
3/24/2017 18:44:04,3397,49,Yes,0,0,No,,High Boiler,6-10,2,Player station,Player station,"Touched sensor, Fast climb (<10s)",,Strong pilot
3/24/2017 18:48:49,3397,49,Yes,0,0,No,,High Boiler,6-10,2,Player station,Player station,"Touched sensor, Fast climb (<10s)",,Strong pilot
3/24/2017 11:59:13,3478,8,Yes,0,7,No,,High Boiler,0,2,Floor,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s)",Go Mexico ,Strong pilot
3/24/2017 13:22:20,3478,16,No,0,2,No,,High Boiler,21-25,0,"Player station, Floor",Does not do gears,"Touched sensor, Locked in place, Fast climb (<10s)",,
3/24/2017 18:05:41,3478,44,Yes,0,2,No,,Does not score Fuel,0,2,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s)",,"Strong pilot, Dropped gear out of ship"
3/24/2017 19:42:23,3478,56,No,0,1,No,,Does not score Fuel,0,1,Does not load fuel,"Player station, Inefficient","Touched sensor, Locked in place, Fast climb (<10s)",,"Dropped gear out of ship, Deployed rope late"
3/24/2017 17:13:58,3481,38,No,0,0,No,,Does not score Fuel,0,2,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s)",,Strong pilot
3/24/2017 18:04:47,3481,44,Yes,0,0,No,,Does not score Fuel,,2,Does not load fuel,Player station,"Touched sensor, Fast climb (<10s)",,Strong pilot
3/24/2017 11:15:17,3606,4,Yes,0,0,No,,Does not score Fuel,0,1,Floor,Player station,"Trouble capturing rope, Does not climb",,Strong pilot
3/24/2017 14:34:26,3606,20,Yes,0,0,No,,Does not score Fuel,0,0,Player station,"Player station, Inefficient","Trouble capturing rope, Does not climb",Drive team didn't seem to know what they wee doing,
3/24/2017 18:51:17,3606,50,Yes,0,0,No,,Does not score Fuel,0,0,Does not load fuel,Player station,Does not climb,Disconnected shortly after teleop began,
3/24/2017 19:42:37,3606,56,Yes,0,0,No,Got a foul for going into other team's territory,Does not score Fuel,0,0,Does not load fuel,"Player station, Inefficient",Does not climb,Didn't do pretty much anything,
3/24/2017 11:28:02,3616,4,No,0,0,No,,Does not score Fuel,0,3,Does not load fuel,Player station,Fast climb (<10s),"Good robot, dropped one gear",
3/24/2017 16:37:30,3616,34,Yes,0,0,No,,Does not score Fuel,1-5,2,Does not load fuel,"Player station, Efficient","Touched sensor, Fast climb (<10s), Trouble capturing rope",Strong team,
3/24/2017 17:36:07,3616,41,Yes,0,0,No,,Does not score Fuel,0,3,Does not load fuel,"Player station, Efficient","Touched sensor, Locked in place, Fast climb (<10s)",,"Strong pilot, Dropped gear out of ship"
3/24/2017 11:28:34,3666,5,Yes,0,0,No,,Does not score Fuel,0,1,Does not load fuel,"Player station, Inefficient","Trouble capturing rope, Does not climb","Pilot is decent, but struggled with collecting the gears",Strong pilot
3/24/2017 13:44:31,3666,18,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,Player station,Trouble capturing rope,Hanging in middle of rope,Strong pilot
3/24/2017 15:36:22,3666,27,Yes,0,0,No,,Does not score Fuel,0,0,Does not load fuel,Does not do gears,Does not climb,Really bad,
